name,type,players,categories,text
Bank It,modifier,"1, 2, 3+",mechanics,"Your shot must bounce off something—a wall, rock, or rim—<i>if possible.</i>"
Eyes Closed,modifier,"1, 2, 3+",mechanics,"Line up your shot normally, then close your eyes for the swing."
Eyes on the Hole,modifier,"1, 2, 3+",mechanics,"Look toward the hole, not the ball, while swinging."
Fast Shot,modifier,"1, 2, 3+",mechanics,Don’t think—just putt! Approach the ball and swing <b>immediately.</b>
No Practice Swings,modifier,"1, 2, 3+",mechanics,Make contact on your first swing—<b>no practice.</b>
Trick Shot,modifier,"1, 2, 3+",mechanics,"Attempt a tricky, risky, or stylish shot."
Wack-A-Doodle,modifier,"1, 2, 3+",mechanics,Hit the ball as hard as seems reasonable for the hole.
Billiard Shot,modifier,"1, 2, 3+","mechanics, movement",Get low like a pool player and poke the ball like a cue stick.
No Wrist!,modifier,"1, 2, 3+","mechanics, movement",Lock your wrist. <b>Use only arm rotation</b> and <b>body movement</b> to swing.
Opposite Hand,modifier,"1, 2, 3+","mechanics, movement",Swing using your <b>non-dominant hand</b> only.
Wrist-Only,modifier,"1, 2, 3+","mechanics, movement",Lock your elbow and shoulder—swing using wrist motion only.
Mirror Shot,modifier,2,"mechanics, social",Try to take the shot you <i>think your opponent would take</i> in this situation.
Echo Shot,modifier,3+,"mechanics, social","Attempt to recreate the shot taken by the player who went before you. If you are up first, enjoy a normal shot."
Mini Game — Blind Betting,miniGame,1,mini-game,"Before you take a shot, predict how many strokes you'll need to reach the cup. After the hole is completed, if your prediction matches your actual score, you earn an immunity token."
Mini Game — Blind Betting,miniGame,"2, 3+",mini-game,"Before anyone takes a shot, each player predicts how many strokes they’ll need to reach the cup. After the hole is completed, anyone whose prediction matches their actual score earns an immunity token."
Mini Game — Closest to the Hole,miniGame,"2, 3+",mini-game,"On this hole, everyone plays their first shot as normal. The player whose ball ends closest to the cup earns an immunity token. A hole-in-one wins automatically. If it’s too close to call, all tied players earn a token."
Mini Game — Hide & Seek!,miniGame,3+,mini-game,"Before playing this hole, everyone turns off name tags. The player (or players, if tied) currently in first place hides somewhere on the course. The first player to find a hider earns an immunity token. <i>Tip: mute while hiding unless you want to use your voice as a hint.</i>"
Mini Game — Trick Shot Contest,miniGame,3+,mini-game,"Everyone attempts their most absurd or stylish trick shot for their first stroke on this hole. After all shots, the group votes for their favorite performance. Whoever wins (ties allowed) earns an immunity token."
Mini Game — Trick Shot Contest,miniGame,"2, 1",mini-game,Attempt a trick shot for your first stroke on this hole. Anyone who successfully does what they aimed to do earns an immunity token.
Mini Game — Prize Hole,miniGame,"2, 3+",mini-game,"The winner of the next hole earns an <b>immunity token.</b> If there’s a tie, all winners get a token."
Mini Game — Line Art,miniGame,3+,mini-game,"The player currently in first place draws a simple picture in the air using their club. If multiple players are tied for first, all tied leaders draw (simultaneously or taking turns—your choice!). All other players guess. The first correct guess for each drawing earns an immunity token."
Behind-the-Back,modifier,"1, 2, 3+",movement,Swing with your controller held behind your back.
Elbows Glued,modifier,"1, 2, 3+",movement,Pretend your elbows are stuck to your sides as you swing.
Look Away,modifier,"1, 2, 3+",movement,Turn your head away from the ball while swinging.
One-Handed Swing,modifier,"1, 2, 3+",movement,Place one hand behind your back and swing with the other.
